letra,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
A,0.0,0.0,-0.08155316114425659,-0.025323987007141113,-0.15674889087677002,-0.10515320301055908,-0.2112019658088684,-0.16147267818450928,-0.2584694027900696,-0.1819918155670166,-0.15079337358474731,-0.19413423538208008,-0.17090743780136108,-0.25192052125930786,-0.13656216859817505,-0.1718875765800476,-0.1270694136619568,-0.169627845287323,-0.09708112478256226,-0.2150174379348755,-0.11691755056381226,-0.26534169912338257,-0.09428161382675171,-0.16044878959655762,-0.09430742263793945,-0.17396050691604614,-0.044032156467437744,-0.2196691632270813,-0.054388582706451416,-0.26742273569107056,-0.04689556360244751,-0.1683061718940735,-0.0459635853767395,-0.17587196826934814,0.0013516545295715332,-0.21939772367477417,-0.0012937188148498535,-0.24701601266860962,-0.005578577518463135,-0.17788469791412354,-0.0050713419914245605,-0.1729642152786255
A,0.0,0.0,-0.07369965314865112,-0.031743407249450684,-0.1462356448173523,-0.10355794429779053,-0.1992321014404297,-0.15237963199615479,-0.24369239807128906,-0.16968584060668945,-0.13191163539886475,-0.18486034870147705,-0.1490669846534729,-0.2582566738128662,-0.12396782636642456,-0.1884700059890747,-0.11485815048217773,-0.1606946587562561,-0.08524066209793091,-0.20766043663024902,-0.09842902421951294,-0.2757917046546936,-0.08116006851196289,-0.18744772672653198,-0.0828201174736023,-0.17303252220153809,-0.036476731300354004,-0.2171419858932495,-0.04467266798019409,-0.2903571128845215,-0.03567016124725342,-0.20487821102142334,-0.03667163848876953,-0.18020319938659668,0.009580671787261963,-0.21523767709732056,0.004603207111358643,-0.2727207541465759,0.0047948360443115234,-0.21029412746429443,0.0036644339561462402,-0.179692804813385
A,0.0,0.0,-0.07265174388885498,-0.03279376029968262,-0.145857572555542,-0.10630911588668823,-0.19849807024002075,-0.15489470958709717,-0.24307596683502197,-0.17116141319274902,-0.13235533237457275,-0.18673592805862427,-0.14910590648651123,-0.2588450312614441,-0.12263184785842896,-0.18773037195205688,-0.11352723836898804,-0.16237562894821167,-0.08558177947998047,-0.20935332775115967,-0.09800207614898682,-0.2735856771469116,-0.079781174659729,-0.18457096815109253,-0.08141458034515381,-0.17329812049865723,-0.036768972873687744,-0.21891528367996216,-0.04423344135284424,-0.2888275384902954,-0.03492426872253418,-0.2037045955657959,-0.03579151630401611,-0.18226712942123413,0.009266376495361328,-0.21800023317337036,0.005376875400543213,-0.27336955070495605,0.005235612392425537,-0.21083396673202515,0.003736555576324463,-0.1819964051246643
A,0.0,0.0,-0.07384514808654785,-0.02374178171157837,-0.15042471885681152,-0.09622710943222046,-0.20409691333770752,-0.14653241634368896,-0.2482907772064209,-0.16477316617965698,-0.13357150554656982,-0.18161427974700928,-0.14253264665603638,-0.23622095584869385,-0.11703181266784668,-0.1607779860496521,-0.11238950490951538,-0.15227597951889038,-0.08338731527328491,-0.19895273447036743,-0.09011858701705933,-0.24740540981292725,-0.07292640209197998,-0.146686851978302,-0.07717037200927734,-0.15162301063537598,-0.03355538845062256,-0.2061384916305542,-0.03452730178833008,-0.2556101679801941,-0.02749079465866089,-0.16243964433670044,-0.030465662479400635,-0.1584712266921997,0.012377142906188965,-0.20692932605743408,0.014145433902740479,-0.2446419596672058,0.012113571166992188,-0.17822128534317017,0.008630692958831787,-0.16261178255081177
A,0.0,0.0,-0.07644462585449219,-0.023890793323516846,-0.15282410383224487,-0.10497784614562988,-0.20686638355255127,-0.16159391403198242,-0.25374287366867065,-0.18313848972320557,-0.13459992408752441,-0.19713228940963745,-0.14051061868667603,-0.22711867094039917,-0.11307913064956665,-0.15438812971115112,-0.1096310019493103,-0.1603071689605713,-0.08139067888259888,-0.21404427289962769,-0.08837491273880005,-0.2375199794769287,-0.07107371091842651,-0.14312267303466797,-0.07347440719604492,-0.15988105535507202,-0.028851091861724854,-0.21484225988388062,-0.032167673110961914,-0.2411629557609558,-0.026482105255126953,-0.1549418568611145,-0.02709442377090454,-0.16605842113494873,0.017714262008666992,-0.21077853441238403,0.01892942190170288,-0.22542333602905273,0.014926254749298096,-0.16239672899246216,0.01340419054031372,-0.1601070761680603
A,0.0,0.0,-0.08244293928146362,-0.03186434507369995,-0.16249746084213257,-0.09646886587142944,-0.20881611108779907,-0.14970624446868896,-0.21776998043060303,-0.2030380368232727,-0.13476604223251343,-0.21117204427719116,-0.13701766729354858,-0.23686623573303223,-0.1138872504234314,-0.1647852063179016,-0.11143666505813599,-0.16884982585906982,-0.08137524127960205,-0.22797733545303345,-0.08336859941482544,-0.2477932572364807,-0.06798356771469116,-0.15502476692199707,-0.07230734825134277,-0.1714664101600647,-0.028422415256500244,-0.22965872287750244,-0.02614116668701172,-0.25363820791244507,-0.022188127040863037,-0.16736680269241333,-0.027572572231292725,-0.17399901151657104,0.021436572074890137,-0.22222787141799927,0.02357250452041626,-0.2459864616394043,0.01907789707183838,-0.17910462617874146,0.012370586395263672,-0.16800862550735474
A,0.0,0.0,-0.08074986934661865,-0.03204911947250366,-0.15880626440048218,-0.09945285320281982,-0.20479071140289307,-0.1517045497894287,-0.22388124465942383,-0.2028016448020935,-0.1328553557395935,-0.20777040719985962,-0.13647663593292236,-0.2371843457221985,-0.10983645915985107,-0.1646748185157776,-0.10628014802932739,-0.16834020614624023,-0.07882273197174072,-0.22473669052124023,-0.08130282163619995,-0.24834656715393066,-0.06450915336608887,-0.1550682783126831,-0.07002347707748413,-0.17092376947402954,-0.02581775188446045,-0.22730004787445068,-0.02348339557647705,-0.2525280714035034,-0.018722712993621826,-0.16702091693878174,-0.026012897491455078,-0.17602324485778809,0.022976040840148926,-0.22158879041671753,0.026853621006011963,-0.24665188789367676,0.023189246654510498,-0.1806577444076538,0.015608012676239014,-0.1711353063583374
A,0.0,0.0,-0.08076310157775879,-0.03305691480636597,-0.15939772129058838,-0.10222691297531128,-0.20633846521377563,-0.15570425987243652,-0.22682911157608032,-0.20690131187438965,-0.1343456506729126,-0.20862126350402832,-0.13479560613632202,-0.24190664291381836,-0.10987943410873413,-0.168371319770813,-0.10975360870361328,-0.17043077945709229,-0.08038663864135742,-0.22532761096954346,-0.07986092567443848,-0.25227266550064087,-0.06400489807128906,-0.15831774473190308,-0.07190150022506714,-0.17360514402389526,-0.02732217311859131,-0.22753828763961792,-0.021609604358673096,-0.2545645236968994,-0.017563939094543457,-0.1688300371170044,-0.02725297212600708,-0.17766904830932617,0.021934866905212402,-0.22205311059951782,0.02839064598083496,-0.24787050485610962,0.02451479434967041,-0.18222171068191528,0.015574753284454346,-0.17309606075286865
A,0.0,0.0,-0.0678861141204834,-0.02328014373779297,-0.13190317153930664,-0.06892657279968262,-0.17420083284378052,-0.11353540420532227,-0.20193934440612793,-0.1536230444908142,-0.10639184713363647,-0.15254837274551392,-0.1103019118309021,-0.19542145729064941,-0.09134596586227417,-0.13167345523834229,-0.088564932346344,-0.12808001041412354,-0.058010101318359375,-0.16290593147277832,-0.06500256061553955,-0.2019798755645752,-0.052609026432037354,-0.12297004461288452,-0.054812490940093994,-0.12882000207901,-0.01399219036102295,-0.16763854026794434,-0.017974257469177246,-0.20894557237625122,-0.012714147567749023,-0.13354992866516113,-0.01428234577178955,-0.13276124000549316,0.026423275470733643,-0.16638058423995972,0.02472609281539917,-0.20075881481170654,0.02231508493423462,-0.14206856489181519,0.020484447479248047,-0.12660282850265503
A,0.0,0.0,-0.053317368030548096,-0.01097404956817627,-0.10975021123886108,-0.04539144039154053,-0.14941847324371338,-0.08367574214935303,-0.17427098751068115,-0.11809426546096802,-0.1033245325088501,-0.11624288558959961,-0.10112297534942627,-0.15406650304794312,-0.08353132009506226,-0.10184496641159058,-0.08637559413909912,-0.09241580963134766,-0.06460249423980713,-0.13095039129257202,-0.06123530864715576,-0.16573363542556763,-0.048901379108428955,-0.09797096252441406,-0.05942589044570923,-0.09683096408843994,-0.029047071933746338,-0.14026600122451782,-0.022336184978485107,-0.17348575592041016,-0.016898274421691895,-0.10989850759506226,-0.027649402618408203,-0.10408437252044678,0.004957139492034912,-0.14415401220321655,0.010518491268157959,-0.1724981665611267,0.012413442134857178,-0.12467873096466064,0.004922747611999512,-0.1095731258392334
